Assemblage_Name	2-3-4	2-4225758-8582695	2-3-8582695	0-1020571-3	2-9987919-8582695
assemblage-363-462	235	0	123	28	6
assemblage-945-434	216	157	114	0	13
assemblage-127-497	218	174	82	0	4
assemblage-958-873	166	62	258	0	6
assemblage-354-873	352	13	93	37	5
assemblage-402-995	239	41	194	0	7
assemblage-386-578	422	0	0	0	11
assemblage-447-857	242	0	137	22	9
assemblage-1003-809	20	98	297	0	8
assemblage-386-815	250	141	98	0	4
