Assemblage_Name	1-1-4	3-3-1	4-1-4	4-1-5314971	4-1-5769312	9980069-4-3	2-4-3	5244941-4-3
assemblage-866-859	0	0	168	0	0	14	288	5
assemblage-367-419	58	32	172	0	0	27	159	6
assemblage-642-157	0	0	139	63	0	205	74	9
assemblage-111-459	122	123	210	0	0	0	40	5
assemblage-734-252	0	0	225	31	0	92	121	9
assemblage-447-857	69	91	116	0	0	56	108	19
assemblage-497-311	0	0	122	15	6	200	142	15
assemblage-644-334	42	0	67	0	0	111	183	19
assemblage-191-813	0	0	16	11	3	256	109	11
assemblage-977-723	0	0	47	0	69	144	103	13
