Assemblage_Name	3-4341886-1	3-3-1	1-4-7245165	3-3-5241091	8492370-3-1	1-3-1	1-181344-1	1-181344-4312466
assemblage-963-868	31	0	93	64	198	0	107	7
assemblage-949-365	0	138	0	139	0	179	0	8
assemblage-563-597	12	55	0	113	0	301	0	12
assemblage-945-434	0	0	153	26	106	0	200	4
assemblage-596-807	56	0	123	69	90	0	127	16
assemblage-468-265	139	0	125	76	0	151	4	5
assemblage-1001-562	58	48	86	87	0	213	0	8
assemblage-371-826	57	0	56	79	0	189	46	7
assemblage-117-516	110	0	73	61	0	7	233	4
assemblage-758-234	71	0	37	125	0	207	6	3
