Assemblage_Name	7449409-4464097-3	1-4464097-1069887	4-2237330-4	1-4464097-8279644	1-1-3	1-6871069-8279644	1-4464097-9204155	1-4464097-3550508	7449409-8758633-3	1-3536398-3	3748278-2984422-1069887	1-4464097-3	1-4464097-9002641
assemblage-604-798	164	0	0	0	0	0	185	11	65	41	0	0	17
assemblage-771-316	0	0	0	0	0	18	274	13	27	0	0	8	30
assemblage-992-559	0	31	33	221	15	0	0	14	0	0	0	117	35
assemblage-956-869	58	0	0	0	0	0	207	135	0	0	0	0	18
assemblage-111-459	0	24	103	104	87	0	0	0	0	0	0	74	13
assemblage-602-829	15	0	0	0	0	0	146	202	0	0	0	0	12
assemblage-348-821	9	0	0	43	0	89	0	78	22	31	39	61	28
assemblage-775-937	0	0	0	52	0	40	0	96	0	81	4	144	15
assemblage-540-587	72	0	0	0	0	40	52	58	5	35	12	61	9
assemblage-805-119	0	29	87	98	109	0	0	0	0	0	0	68	39
