Assemblage_Name	2-1-1	8499511-0-4	1-2-5177120	1-2-7930698	8627292-2-6450452	6746577-1-1	1-2-9563732	4-2-6450452	3-0-4814311	2-9509141-1	2-8637653-1	3-0-4	2-6853365-1	3-282170-4814311
assemblage-815-105	58	0	0	37	48	21	0	0	225	0	47	0	16	19
assemblage-111-459	111	54	0	0	0	0	0	0	88	0	0	168	0	10
assemblage-657-321	93	30	0	31	35	0	0	4	12	0	67	123	0	14
assemblage-371-826	157	0	0	44	0	0	60	0	0	6	13	105	0	24
assemblage-117-516	16	0	48	0	192	80	43	0	25	0	0	0	34	12
assemblage-993-573	48	64	0	124	0	0	0	21	8	0	0	188	0	18
assemblage-632-142	0	9	35	0	129	34	0	0	60	34	0	0	135	20
assemblage-805-119	39	21	0	4	0	0	0	108	4	0	0	177	0	16
assemblage-773-447	0	0	69	0	123	0	20	0	0	52	0	0	18	24
assemblage-183-819	45	0	14	0	113	0	0	0	33	62	0	0	59	19
