Assemblage_Name	5145963-3528669-3494762	5145963-4-4446442	5145963-1709724-8146538	3643085-1645940-2053797	3643085-9227474-4	3643085-2-4	1717628-4-3	4081038-2-4	5145963-3141481-3	5145963-4-3	1-4-0	6505506-60346-0	3116172-3528669-3	5145963-3528669-3	5065342-3528669-3	8058599-7140781-8146538
assemblage-392-1005	0	10	0	0	13	0	112	0	96	0	37	0	25	171	7	14
assemblage-489-327	0	14	45	59	67	0	43	0	36	0	17	0	5	105	0	7
assemblage-965-448	69	0	0	156	0	0	0	0	0	0	0	0	0	0	191	18
assemblage-638-795	68	13	111	0	0	0	0	0	0	0	0	0	33	83	96	30
assemblage-354-873	0	0	0	0	157	12	10	32	0	112	22	22	0	33	0	14
assemblage-385-579	0	0	0	0	12	211	0	0	0	19	11	0	0	0	0	28
assemblage-463-280	0	0	0	0	28	35	0	121	0	33	84	19	0	13	0	26
assemblage-262-172	62	28	13	71	0	0	0	0	0	0	0	0	0	27	164	34
assemblage-454-843	0	0	0	0	0	42	0	15	0	92	128	65	0	51	0	14
assemblage-735-364	0	66	0	0	40	0	40	0	46	2	7	0	2	149	0	9
