Assemblage_Name	2-0-82563	0-0-0	278522-0-2	0-6500049-0	9780007-0-2	2-0-424385	2-0-2	2-0-3812677	2-0-2276679	2-0-7068528	278522-0-9403741
assemblage-992-736	15	0	143	0	0	9	247	42	25	0	1
assemblage-401-583	0	14	72	0	0	0	111	0	0	0	8
assemblage-815-105	0	0	9	0	0	69	271	0	79	0	20
assemblage-642-157	16	0	36	0	0	9	232	0	181	0	26
assemblage-115-478	7	0	0	0	0	0	243	18	98	26	11
assemblage-205-814	8	0	118	0	0	0	235	48	0	46	12
assemblage-466-841	0	74	41	0	36	0	230	0	47	0	16
assemblage-644-334	0	0	11	48	7	0	403	0	0	14	1
assemblage-993-573	0	13	74	47	0	0	309	0	0	0	7
assemblage-897-236	0	0	50	47	21	0	359	0	18	0	5
