Assemblage_Name	1-1-4	6903337-2-2	0-4-2	5782667-1-4	5782667-6155982-4	4-2-2	1-4-9773480	1-4-1	4-2-8335701
assemblage-755-235	62	0	135	112	0	132	0	7	8
assemblage-630-843	94	10	33	0	0	15	171	0	0
assemblage-994-556	68	0	54	7	81	29	0	228	5
assemblage-467-253	66	0	236	0	72	0	0	71	19
assemblage-514-764	72	7	190	0	10	12	193	0	7
assemblage-620-164	15	0	275	0	8	76	66	0	10
assemblage-500-313	0	28	249	25	58	65	15	53	7
assemblage-735-342	25	13	229	0	22	202	0	2	7
assemblage-101-463	178	0	104	48	0	19	0	56	9
assemblage-799-102	212	0	121	40	0	0	0	108	6
