Assemblage_Name	585414-3-0	4-4-1511534	9304375-4-4	4-4-3	4-2-3	4-2-606767	4-2-2898417	4-5622041-3	8527993-3-0	1-4-4	4-2470601-606767	0-8637044-1	3803718-4-4
assemblage-554-568	40	15	124	77	13	73	27	33	0	0	0	0	9
assemblage-379-581	0	0	0	214	0	0	0	0	0	250	0	0	6
assemblage-912-205	0	0	13	51	134	94	0	101	21	6	0	0	22
assemblage-768-310	0	0	51	103	59	99	0	0	0	68	56	0	6
assemblage-259-175	110	125	32	28	0	104	5	0	0	0	67	0	18
assemblage-145-150	0	0	0	34	189	0	0	0	32	143	0	12	16
assemblage-986-557	0	0	7	84	60	0	0	41	0	199	0	73	13
assemblage-645-340	0	0	83	57	80	60	0	63	48	79	0	16	14
assemblage-644-161	0	0	43	56	8	117	16	0	0	17	180	0	7
assemblage-951-437	11	90	144	6	50	9	51	0	0	0	62	0	6
