Assemblage_Name	1-3-1	3-4-0	2-3-0	9263276-2-4	4-2-4	1-3-3	4-2-1081130
assemblage-756-230	67	0	46	36	172	124	2
assemblage-107-490	112	0	46	0	237	102	3
assemblage-617-852	0	0	350	0	133	13	4
assemblage-266-272	87	171	0	0	17	22	5
assemblage-774-925	88	23	62	0	205	106	1
assemblage-377-823	125	0	0	68	93	141	4
assemblage-510-764	0	0	128	0	319	37	4
assemblage-356-858	48	11	27	21	259	130	4
assemblage-632-142	0	0	114	0	379	5	2
assemblage-805-119	98	7	69	0	189	119	3
