Assemblage_Name	9061435-1-2	5714661-2-4505326	1-6801180-1	6037244-1-1	1-1-1	5714661-2-4	0-0-0	822456-1429544-1	5714661-6552039-4	1-2-4	1-8455981-4	0-8563298-9904971	0-0-9904971	1-2-1117174	4265376-1429544-1
assemblage-949-365	0	0	24	0	42	0	216	0	0	0	0	0	0	0	16
assemblage-176-154	15	0	74	0	97	0	35	0	0	129	0	5	46	0	24
assemblage-763-309	0	124	0	22	23	27	0	9	13	0	64	0	23	67	18
assemblage-644-334	11	0	69	0	82	95	0	16	0	12	0	114	22	0	25
assemblage-772-449	0	0	0	26	94	34	0	105	0	0	0	0	66	0	6
assemblage-829-98	0	21	0	0	71	84	0	4	42	0	48	27	12	79	26
assemblage-191-813	0	0	0	12	120	63	0	74	0	0	0	0	55	0	27
assemblage-859-854	0	0	0	0	23	165	0	5	19	18	0	109	7	0	14
assemblage-452-257	7	0	80	0	120	41	6	15	0	75	0	9	37	0	34
assemblage-632-142	0	13	0	42	109	0	0	277	0	0	10	0	0	7	18
