Assemblage_Name	3-4-2	0-4-1	3-9376196-5884050	3-4-7037169	3-0-3	1-4-2	3-4-5884050	3-3329176-3	1-4-7599946
assemblage-945-434	0	0	23	402	0	0	27	0	5
assemblage-367-419	265	50	0	0	0	41	0	138	6
assemblage-385-584	165	8	0	0	44	239	6	16	10
assemblage-958-873	0	36	0	254	0	0	187	0	3
assemblage-115-490	28	117	5	79	0	0	129	79	11
assemblage-395-903	0	83	0	283	0	0	110	9	8
assemblage-447-857	125	89	0	0	53	65	12	125	15
assemblage-371-826	64	139	0	0	0	0	110	132	5
assemblage-540-587	11	149	69	0	8	0	70	49	15
assemblage-666-310	125	176	0	0	8	0	163	16	12
