Assemblage_Name	0-0-2	6005561-0-2	3-0-2	1-4-1	4-9056063-1	4-9056063-3558522
assemblage-766-303	241	38	0	0	196	2
assemblage-874-851	193	0	52	0	210	13
assemblage-261-275	0	0	160	0	100	3
assemblage-386-886	123	79	0	12	276	10
assemblage-367-421	74	0	176	57	174	8
assemblage-165-150	241	0	27	0	131	9
assemblage-655-312	202	0	76	66	132	7
assemblage-641-859	139	50	0	60	239	3
assemblage-540-587	210	21	4	20	203	6
assemblage-183-819	301	43	0	28	101	3
