Assemblage_Name	4591948-1-4	4061605-4-4965306	2-1-4	3-9243095-1	3-4051514-1	2-2-3	2-7236553-4	3-4-1	7188595-2-4503448	4061605-4-1	3-8836844-1	3-4-5543028
assemblage-792-426	18	80	0	20	4	0	21	62	13	0	135	5
assemblage-357-864	0	0	106	0	0	43	0	21	38	120	0	9
assemblage-119-470	0	0	110	0	0	89	0	82	0	0	0	24
assemblage-145-505	14	43	95	0	0	0	65	53	42	0	25	8
assemblage-815-105	0	22	93	0	0	0	0	199	112	0	0	15
assemblage-204-828	39	69	43	56	6	0	11	123	46	0	4	25
assemblage-843-848	0	0	93	0	0	17	0	4	290	15	0	10
assemblage-791-118	0	0	138	0	0	218	0	62	14	0	0	22
assemblage-770-926	0	0	53	0	0	171	0	14	18	137	0	13
assemblage-988-792	34	33	0	4	81	0	33	69	39	0	122	22
