Assemblage_Name	3-9551794-3	1-1-2	3-3-3	1-931791-2	1378416-4-0	2-1-1576558	2-1-0	1-1-9902354
assemblage-617-852	14	121	73	0	101	0	173	1
assemblage-766-303	62	26	38	24	195	0	59	3
assemblage-617-164	28	168	0	0	170	0	112	22
assemblage-791-118	0	120	111	131	37	0	91	10
assemblage-958-360	0	0	266	89	15	0	3	3
assemblage-874-862	57	27	110	26	100	20	147	6
assemblage-961-871	13	243	0	0	134	0	84	9
assemblage-775-937	0	69	251	85	15	9	57	9
assemblage-801-92	32	12	39	61	117	0	123	24
assemblage-443-264	0	18	301	0	0	56	82	23
