Assemblage_Name	9485924-6766512-935364	3-0-7873424	9485924-6766512-1182418	8472769-6766512-1182418	6062011-887828-0	1-6220879-0	8765509-4-0	9576275-4-0	9576275-887828-0	7453470-4-0	1-4-0	8834889-2535875-0	9576275-3042648-0	9576275-4-5023981	8765509-5673325-0	9576275-4-6316317
assemblage-781-432	0	0	118	0	0	0	67	0	0	0	0	41	63	0	0	23
assemblage-402-995	0	0	103	59	15	9	0	0	8	37	55	12	0	87	95	20
assemblage-774-925	46	118	20	0	0	7	50	6	0	0	188	0	0	0	0	26
assemblage-951-342	0	10	17	0	0	0	0	289	0	0	32	0	0	9	0	21
assemblage-340-860	18	0	59	56	0	47	0	0	105	9	125	0	0	20	0	26
assemblage-466-841	7	100	88	0	0	0	0	83	0	0	61	0	0	9	0	39
assemblage-961-871	0	0	128	0	0	0	0	0	0	0	64	0	101	33	0	23
assemblage-117-516	0	0	164	0	8	27	0	0	6	22	0	103	0	49	9	32
assemblage-877-870	0	0	15	11	14	61	8	0	85	0	26	0	0	0	22	46
assemblage-402-894	0	0	196	0	0	23	0	0	0	38	0	6	88	33	0	29
