Assemblage_Name	2-4-3741710	2331573-4138593-3741538	2-2184407-1268549	4-8888448-4	4-4812976-4	3918332-3-3	4-9327933-4	4-4026524-4	2-1397006-4	4-1285845-7527192	2-1-0	2331573-4-3592904	4-2-5540040	4-8155792-6302218	2-875264-2220012	3918332-3-470922	3918332-3-500496	822050-2-4	4-1286987-4	2331573-4-89733	4-2-4684153	4-2-8558025	3918332-3-3955983	3508846-2-4	4-8423691-7527192	4-2-5823868	4-3935124-4	4-2-5220901	4-2-910709	242701-2-4	1085005-2-4	4-2064932-4	4-2-6302218	7277571-2-4	4-2-6070301	4-2-9340389	2331573-4-597183	4-2-2284764	4841987-2-4	2331573-4-4874235	8274372-2-6302218	3918332-5962523-3	2331573-4-3741538	2331573-4-0	6327887-4026524-4	4-2-4	2-2184407-4	3-4-0	4-4902341-7527192	3175419-2-6302218	4-9418659-9380561	2-3430598-1824346	4-248893-4	876508-2-4	3784174-4026524-4	3918332-3439527-3	4-2056748-4	5667786-2-4	256382-3-3	4-8721814-4	4-4385805-4	4-1285845-4	2-4-4	6841100-2-4	4-2-9380561	3918332-3-5608126	5165179-2-4	4-248893-6524815	4-4392983-4	2-4-1824346	2371456-2-4
assemblage-250-731	0	0	0	0	0	0	8	30	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-747-590	0	0	0	0	0	78	0	52	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	17	122	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	8	0	0	0	0	0	7
assemblage-96-896	0	0	0	0	0	78	0	73	0	14	19	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	11	26
assemblage-759-483	0	0	0	0	0	15	0	125	0	53	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	76	0	129	0	0	0	0	0	0	9	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	8
assemblage-677-301	0	0	0	0	0	18	0	82	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	241	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	6	8
assemblage-700-275	0	0	0	0	0	55	0	102	0	7	8	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	23	0	0	0	0	0	0	0	0	0	0	12	0	0	0	67	0	0	0	0	0	0	0	19
assemblage-240-941	0	0	0	0	0	122	0	21	0	46	0	0	0	0	0	0	9	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	15	0	141	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	30	0	0	0	0	4
assemblage-467-749	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	19	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-636-922	0	0	0	0	0	21	0	78	0	0	18	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	231	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	8	13
assemblage-678-943	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	13	0	0	0	0	0	0	16	0	0	52	0	0	0	0	0	9	0	12
assemblage-238-92	0	0	0	0	0	19	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	50	0	0	0	0	41	0	0	0	0	0	0	0	279	0	0	0	5	0	0	0	0	0	0	0	0	0	62	0	0	19	0	0	0	0	0	0	0	16
assemblage-747-593	0	0	0	0	0	49	0	43	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	181	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	17
assemblage-234-493	0	0	0	0	0	3	0	132	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	18	0	0	0	0	0	13
assemblage-595-739	0	0	0	0	13	83	0	169	0	10	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	6	25	0	0	0	53	0	0	0	0	0	0	0	4
assemblage-571-457	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	4	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	12
assemblage-689-282	0	0	0	0	0	38	0	25	0	7	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	17
assemblage-328-698	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	11	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	232	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	23
assemblage-253-726	0	0	0	0	0	0	4	32	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-340-683	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	21	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	12
assemblage-730-622	0	0	0	0	9	151	0	34	0	0	0	0	0	0	0	0	8	0	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	102	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	10
assemblage-599-945	0	0	0	0	0	33	0	90	0	89	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	28
assemblage-465-737	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	5	0	0	296	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	8	0	0	0	0	0	27
assemblage-604-525	0	0	0	0	0	18	0	65	0	0	14	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	250	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	5	12
assemblage-604-735	0	0	0	0	0	70	0	26	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	198	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	88	0	0	0	0	0	0	0	14
assemblage-234-166	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	9	0	0	0	0	0	124	0	0	0	0	6	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10
assemblage-351-499	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	17
assemblage-224-673	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	38	0	0	0	0	0	0	0	15
assemblage-669-934	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	202	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	18
assemblage-455-398	0	0	0	0	8	167	0	36	0	0	0	0	0	0	0	0	4	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	111	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	14
assemblage-473-651	0	0	0	0	0	54	0	59	0	48	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	14
assemblage-612-775	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	35	0	0	0	0	0	0	0	19
assemblage-268-734	0	0	0	0	0	0	8	23	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-336-700	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	330	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	5	0	23	0	0	0	0	0	15
