Assemblage_Name	5597907-4-2	3906771-2-3	1-1-3	4-3391647-3774682	5597907-4-890282	4-1078336-3	5597907-7235961-2	0-2-9574696	1-0-3	3494994-4-2	4-4-3774682	3-5339-6414461	4-4-1399237	5597907-6137003-2	5597907-1056809-2	8318696-4-2	3-3-3	5597907-7260622-2	5597907-1056809-5114044	4-8402081-3774682	5597907-1056809-625112	4-4-8265010	1653703-4-3	2027087-4-3	3-5339-467427	5597907-2898716-2	5597907-8148573-2	3-0-8346826	9269437-4-2	3-5339-6831238	2637984-4-3	5597907-1056809-4582269	4-4-2075405	3906771-2680920-3	3-5339-7391188	0-205656-3	5597907-4-1866823	0-2-3	5597907-6891403-2	5597907-9730794-2	1-9100393-3	7561682-1056809-2	1580413-5339-4	5597907-6137003-4125683	4-4-2387553	0-2-6266789	4-4-3	4-1845135-3	2274102-4-3	3-7705307-4	5175952-5339-7391188	9269437-4-9642510	5597907-1056809-2307808	5597907-7491180-2	4-8271059-4746377	5597907-3807136-3748892	7433151-2-3	4-8271059-3	4300805-4-3	4929823-4-2	3-5339-5101666	3-5339-9225429	5597907-2275126-2	2150601-4-3	3-0-4	4-4-243438	1-1-7182291	5597907-2900391-2	3-525798-4	3-5339-4	5690537-4-2	4-4-3375974
assemblage-250-731	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	12
assemblage-747-590	11	162	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	23	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	78	0	8
assemblage-96-896	152	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	23	0	0	0	0	22	0	22
assemblage-759-483	205	0	12	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	4
assemblage-677-301	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	79	0	15
assemblage-700-275	139	16	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	11
assemblage-240-941	54	119	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	0	236	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9
assemblage-467-749	73	52	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	20	0	14
assemblage-636-922	210	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	72	0	10
assemblage-678-943	39	72	0	0	0	0	0	0	0	0	50	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	14
assemblage-238-92	67	0	0	0	0	0	0	0	0	0	7	0	0	8	97	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	151	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11
assemblage-747-593	199	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	11
assemblage-234-493	33	13	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	2
assemblage-595-739	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-571-457	130	0	0	0	16	0	0	0	0	0	13	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	13
assemblage-689-282	89	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	31	0	17
assemblage-328-698	152	31	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	35	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	5
assemblage-253-726	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	20
assemblage-340-683	75	65	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	25	0	13
