Assemblage_Name	409795-2-3	3-523524-4	7930379-3-4902598	1-0-1	6521645-3-4593887	4-9281390-3	0-5543770-2	0-1-2	7015898-2-3	2217010-2-3	4-2-2925748	7930379-6996568-4	5754964-5543770-2	8023199-2-3	7930379-2402034-4	2-4361069-0	0-8863817-2	5578595-2-3	3-1826266-4	2-0-0	7930379-3-4689381	3-0-4	321323-2-3	1-3593481-1	4-2-3	3-7690314-4	3-338648-4	3-0-6752004	7930379-3-4593887	2-0-5552213	1-2-2	2060359-3-4	1-4-2	2-1-1	7930379-3-4	9895768-3-4	7930379-3-8486971	2-0-5431172	4-2-9556654	3-5891867-4
assemblage-336-700	0	0	0	0	0	0	0	12	0	0	0	0	0	18	0	0	0	0	0	0	0	81	0	0	351	0	0	0	0	0	0	0	0	0	28	0	0	0	0	10
assemblage-238-351	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	154	0	0	0	27	0	0	0	0	0	48	0	0	0	3	14
assemblage-470-744	0	11	0	0	0	0	19	64	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	77	0	0	37	134	0	0	0	0	0	10	0	0	0	0	5
assemblage-331-183	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	10	0	78	0	0	0	31	0	0	0	0	0	131	0	0	0	0	7
assemblage-696-280	0	0	0	35	0	0	0	34	0	0	0	0	0	0	2	0	0	0	0	211	0	0	0	0	27	0	0	0	0	0	0	16	0	0	166	0	0	0	0	9
assemblage-757-478	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	45	0	0	0	0	0	0	31	0	0	212	0	0	0	0	6
assemblage-617-283	0	0	0	0	0	15	34	45	0	0	0	0	0	35	0	0	0	0	0	7	0	144	0	0	149	0	0	0	29	0	0	0	0	0	21	0	0	0	0	21
assemblage-361-733	0	0	0	37	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	16	0	0	0	0	0	0	21	0	0	147	0	0	0	0	10
assemblage-925-970	0	0	0	139	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	171	0	31	0	0	32	0	0	0	0	0	0	21	0	0	90	0	0	0	0	6
assemblage-849-911	0	0	7	28	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	193	0	27	0	0	43	0	0	0	0	0	0	0	0	0	148	0	0	0	0	3
assemblage-341-187	0	0	0	0	0	0	32	0	0	0	0	0	40	0	0	0	0	9	0	0	0	327	0	0	46	0	0	0	16	0	0	0	0	0	20	0	0	0	0	10
assemblage-227-460	0	0	0	0	0	26	48	48	0	0	0	0	0	19	0	0	0	0	0	7	0	112	0	0	170	0	0	0	33	0	0	0	0	0	23	0	0	0	0	14
assemblage-885-866	0	7	0	0	0	0	22	42	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	97	0	0	29	122	0	0	0	0	0	14	0	0	0	0	5
assemblage-343-696	0	0	0	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	228	0	0	138	0	0	0	39	0	0	0	0	0	76	0	0	0	0	2
assemblage-581-731	0	0	0	223	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	30	0	58	0	0	49	0	0	0	0	0	0	0	0	0	59	0	0	16	0	6
assemblage-897-857	0	8	0	0	0	0	12	46	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	82	0	0	43	133	0	0	0	0	0	7	0	0	0	0	3
assemblage-474-671	0	0	0	97	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	153	0	50	0	0	52	0	0	0	0	0	0	0	129	6	0	0	0	0	0	6
assemblage-262-640	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	0	0	270	0	0	10	0	0	0	191	0	0	0	0	0	5	0	0	0	0	3
assemblage-942-369	0	0	0	0	0	24	43	52	0	0	0	0	0	32	0	0	0	0	0	7	0	151	0	0	125	0	0	0	33	0	0	0	0	0	25	0	0	0	0	8
assemblage-239-945	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	45	0	188	0	17	71	0	0	0	0	0	0	0	0	0	85	0	0	0	0	3
assemblage-831-655	0	0	0	0	0	0	0	143	0	0	0	0	0	0	5	0	0	0	0	140	0	11	0	0	12	0	0	0	0	0	0	0	0	0	188	0	0	0	0	1
assemblage-894-875	0	0	0	0	0	0	107	61	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	110	0	0	0	3	0	0	0	0	0	66	0	0	0	0	3
assemblage-364-249	0	0	0	15	0	0	12	240	0	0	0	0	0	0	0	0	8	0	0	0	0	85	0	0	47	0	0	0	11	0	0	0	0	0	73	0	0	0	0	9
assemblage-509-129	0	0	0	0	0	0	118	56	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	101	0	0	0	0	0	0	0	0	0	77	0	0	0	0	9
assemblage-233-168	0	0	0	0	0	0	42	0	16	0	0	0	38	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	5
assemblage-575-462	0	0	0	0	0	0	68	0	42	0	0	0	5	0	0	0	0	0	0	0	0	192	0	0	15	0	0	0	148	0	0	0	0	0	16	0	0	0	0	14
assemblage-247-170	0	0	0	0	0	0	26	0	9	0	0	0	35	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	7
