Assemblage_Name	5266385-4-1	0-4-6290764	6552001-4-5970330	0-4-6517457	3915288-4-1	0-4-1	0-4-2098746	3417724-4-1	0-4-5521165	3-4847142-3	0-4-5666002	4-3-5704855	0-4-3344532	0-4-4688648	6552001-8804406-3	0-3848515-1	6552001-3002804-3	6552001-4767467-3	3611902-2-5103169	4-1569461-2	0-4-3670120	3-4847142-369851	0-1203730-1	5675455-3-2	1104759-4-1	0-4-3872481	3208445-4-1	0-585568-1	4-4-3	4638758-728710-1	6552001-4-7887916	7176147-4-3	3-2-5103169	6552001-8759883-3	0-4-3147277	4-3615702-2	3-3764943-5103169	4434558-2-5103169	6552001-4-3	0-4-2601872	4-3-2	4-3-0	3-2-3	0-4-9349846	3433517-3-2	111653-4847142-3	0-4-2345460	4308773-4-3	4-3-5058716
assemblage-250-731	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	233	0	0	167	5	0	0	0	0	0	3
assemblage-747-590	0	0	4	0	0	71	0	0	0	32	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	129	0	216	0	0	0	0	0	0	0	8
assemblage-96-896	0	0	0	0	0	121	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	3	0	0	0	0	0	129	0	44	51	64	0	0	0	0	0	5
assemblage-759-483	0	0	0	0	0	218	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	82	0	0	0	0	0	0	0	7
assemblage-677-301	0	0	0	0	0	194	0	0	0	72	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	71	6	15	0	0	0	0	0	3
assemblage-700-275	0	0	0	0	0	186	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	91	0	32	0	0	0	0	0	5
assemblage-240-941	0	0	0	0	0	184	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	108	0	77	0	0	6	0	0	0	0	3
assemblage-467-749	0	0	0	0	0	219	0	0	0	36	0	11	0	0	0	0	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	71	0	0	0	0	0	43	0	92	0	0	0	0	0	0	0	9
assemblage-636-922	0	0	0	0	0	176	0	0	0	73	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	82	0	16	0	0	0	0	0	6
assemblage-678-943	0	0	0	0	0	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18
