Assemblage_Name	2-3-856396	2-3-6964504	2-3-6864331	1156249-3-0	2-7955927-0	8439178-6583233-590880	2-1348220-7554870	7573023-1449733-5807783	3-3787845-590880	2-3-1798245	3-5710161-8166580	1-3-9075673	714973-7197815-8394178	129854-5710161-9257308	2-3-2317940	3-5710161-7536571	3-5710161-7377096	3-5710161-8394178	4-2505636-903691	7360771-3-0	899490-6583233-5842521	7761845-3-0	7258443-2218560-4229208	2-3-4260518	3-6510810-590880	1-3-9991625	2-5273588-7554870	3-5710161-2355292	2-3777707-0	2-5708361-0	2-7252307-6964504	7728070-2100230-3	4672933-2505636-903691	9609247-3-0	4463815-5710161-5925571	3-4810027-590880	2309917-3-0	3-5710161-5925571	4-2-3226559	7728070-3-5963713	2-8745820-856396	3-5710161-8658491	4-2505636-2011044	3-5710161-590880	899490-6583233-1549268	899490-4522459-5145617	2-3-7281746	3-8973741-4229208	7258443-5710161-4229208	714973-5710161-8394178	2-7733271-0	1552536-2505636-9001761	4-60375-903691	4-4-3549930	899490-6583233-5145617	4-2-5978028	5929771-5710161-4229208	3-8857427-590880	2-3-6691109	2-0-0	2-2941608-0	2-8635567-7554870	9555728-3-0	3-5710161-4699973	3-5710161-6610388	2-3-0	5123422-5710161-590880	3-6080717-4229208	2-3-4235469	2-6402375-0	3-5710161-9257308	4-2-9792752	3-5710161-4229208	4-9115370-903691	2-2341614-856396	1552536-2505636-903691	2-0-114603	1-3-1	2-3-7554870	4-776478-0	3-6583233-590880	2-8234576-0	4-2-1	4-2-8475892	1563576-3-0	1183683-4-0	2-5302240-0	4925625-3-0	5366673-3-7554870	3-2922116-4229208	3-5710161-160674	7728070-3-3	4344841-5710161-590880	7728070-1449733-5807783	2-2449283-0	6357937-3-7554870	2-7699148-0	5384585-7197815-8394178	4-4-8189205	2-3-2065298	8955549-3-3	2-3-3378296	2-3-1673004	137113-5710161-8394178	568263-3-0	2-4329339-0	3548176-3-0	6225928-5710161-590880	3-9310659-4229208	4-2-5917941	8439178-7625353-590880	3-5944122-2355292	8453074-2505636-903691	3-3084969-4229208	3-5710161-5584147	4075259-2505636-903691	899490-6583233-5449069	3-8099062-4229208	714973-7197815-9465399	2-3-1761094	4-4-0	3-6583233-5145617	3-8190450-590880	3-5710161-4568847	2-274542-0	2-6190463-7554870	4-2926204-903691	3623904-4-0	4-2-903691	2236037-3-0	7572585-6583233-5145617	2-3-452988
assemblage-250-731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	11	0	0	0	0	0	0	0	0	167	0	0	0	0	59	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	0	18
assemblage-747-590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	51	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4	13
assemblage-96-896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0	0	0	0	4	6	38	0	0	0	0	43	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	10	0	0	47	0	5	0	0	9	0	0	0	0	0	33	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	84	0	0	35
assemblage-759-483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	9	0	0	0	48	0	0	0	0	0	0	0	0	0	24	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	69	21
assemblage-677-301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	38	0	0	0	0	0	85	0	0	0	0	0	0	0	10	0	0	0	76	0	0	54	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	104	0	0	33
assemblage-700-275	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	74	6	0	0	0	0	0	0	0	0	15	0	0	0	0	0	42	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	45	0	0	5	0	0	0	0	0	0	0	0	0	0	14	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	106	0	99	8
assemblage-240-941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	12	12	0	132	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	29
assemblage-467-749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-636-922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	31	0	0	0	0	0	97	0	0	0	0	0	0	0	6	0	0	0	63	0	0	71	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	97	0	0	20
assemblage-678-943	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	152	0	0	0	0	0	0	58	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	10
