Assemblage_Name	2-1668351-7201865	3-9500933-1498182	2-7039274-3	9389869-1668351-3	2-9630131-3	2-1668351-6693379	3-8958826-9381513	6011656-1668351-7302598	6963719-1668351-3	2-1668351-8558300	3094996-2-4789799	0-358075-2469290	2-4881381-461696	7674056-1668351-3	2-1668351-9253692	5134677-1668351-3	2-6349696-1264681	3-8958826-9771612	3-8958826-9198415	2-3271393-3	1016243-1668351-3	7268791-1668351-3	2-9751895-3	9389869-1668351-8789481	2-6349696-1133245	2-2626337-3	5838214-1668351-3	6228253-1668351-3	3-4346457-5976555	2-1668351-4289316	3-8958826-9592033	1718912-1668351-3	2-1668351-8786780	2-4561678-3	3-8958826-5976555	8322860-1668351-7743239	9389869-1668351-1894707	2665927-1668351-3	4-1-4849225	6836201-4397506-4	0-2-1241257	3-4397506-4	8600205-358075-1	0-2-4789799	7104750-2-4789799	2-8553211-3	2-8841023-3	2-6349696-6891290	2-1668351-2015542	8322860-1668351-3	3-3804545-4	2-6045445-3	8358051-4211947-4	2-2-3772882	3419056-1668351-3	2-49127-3	3-4397506-2937511	2-4688196-3	0-4522789-1443207	2-1668351-7395153	6474647-1668351-3	3-8958826-4121869	9494129-1668351-8558300	7803178-4397506-4	2-1668351-9025485	482242-1668351-3	3203783-9751895-3	7664616-8202484-3	0-358075-594912	0-358075-9894499	4915573-8958826-5976555	2-4881381-6795157	0-358075-1103638	2-1668351-7168159	2-2-3	9838939-1668351-3	3-8958826-4	963331-4397506-4	0-2240246-1	0-2-1	2-3084665-3	3-4397506-5842734	7337536-1668351-3	0-358075-1	9308308-1668351-3	2-6131401-3	2-3044206-3	2-8102719-3	867037-1668351-3	311146-1668351-3	7772544-1668351-3	3-6016042-5976555	2-9003725-3	386567-6349696-3	391458-4397506-4	3715936-8958826-4	8600205-358075-4493015	2-6685112-3	2-1668351-3463373	2-1668351-608909	7664616-1668351-3	3-6548078-4	7664616-6930390-3	6963719-1668351-9791678	2-1668351-7892685	4028387-2-3	4112454-1668351-1894707	17010-1668351-3	3-0-4	2-1668351-3	8358051-0-4	4353247-1668351-3	2-6349696-3	2793232-4881381-6795157	9494129-1561059-8558300	2774304-358075-1	2-1668351-7302598	2-1668351-6415506	2-5363082-3	2-1107320-3
assemblage-465-737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	299	0	0	20	0	0	0	0	0	0	41
assemblage-604-525	0	22	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	41	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	8	0	0	0	0	0	0	0	0	32
assemblage-604-735	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	29	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	9	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	10	0	26	0	0	0	20
assemblage-234-166	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	226	0	0	87	0	0	0	6	0	0	14
assemblage-351-499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	38	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	28
assemblage-224-673	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	58	0	0	0	0	0	0	20
assemblage-669-934	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	53	0	0	0	0	0	0	11
assemblage-455-398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	93	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	43	0	0	0	10
assemblage-473-651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	28	0	0	0	0	0	0	0	0	0	18
assemblage-612-775	0	0	0	31	0	0	0	0	0	0	0	0	0	56	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	198	0	0	30	0	0	0	0	0	0	31
