Assemblage_Name	6290413-1-3	2-1-4906320	3161732-4909081-3	1-1-3	1-3209183-2	2-1-3964141	2-9773636-3	8264813-1-3	2-9535959-3	9768954-1-3	2-3317885-3	2-6548283-3	2-1-6533622	2-1-2566252	2-2749007-3	3-3-4	3161732-1-5802280	2-1-2468600	1-8624112-3	761287-1-3	2-964588-3	2-1-2837728	2-1-9056444	4978560-1-3	2-8319691-2842134	2-3112801-3	3-0-2875948	2-9773636-1207564	1-6966266-3	2-9926987-3	3-4376950-1027248	2-1-3308226	2-9773636-3837878	4868342-9773636-3	2-7878283-3	2-1-4090145	4978560-9273298-3	2-9828770-3	9750768-1-3	3-1294847-1027248	1-1-6657801	3-0-2	203575-1-3	2-1-8021360	2-1-567073	1-1-1824995	4978560-6612540-3	2-5007114-3	1-4-1	4978560-938307-3	7234984-1-3	8620603-1-3	2-1-3	7083692-1-3	3-0-4	2-8319691-3	6148673-1-2	2-1-7850186	6290413-1-742969	8053996-9077459-2	3161732-1-3	8053996-1-2	1-1-6599179	2-1549192-3
assemblage-255-725	0	0	0	241	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	4	162	0	0	0	0	0	0	0	0	15	0	23
assemblage-745-570	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	23	0	0	156	7	0	4
assemblage-585-727	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	8	187	0	16
assemblage-243-162	0	0	11	7	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	39	0	0	6
assemblage-246-669	0	7	0	91	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	13	0	0	8
assemblage-478-642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	0	65	0	0	0	0	0	19	14	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	93	0	15
assemblage-821-647	0	0	0	15	29	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	45	0	0	0	110	0	5	0	0	0	0	0	0	197	0	20
assemblage-243-797	0	8	0	98	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	14	0	0	9
assemblage-821-643	0	0	0	21	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	44	0	0	0	104	0	0	0	0	0	0	0	0	215	0	20
assemblage-611-922	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	24	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	29	0	0	0	0	71	0	11
