Assemblage_Name	2881137-6559822-2	3-3453359-0	1-3-1892985	1-3-9874775	1-2-4914436	3-8317227-0	2881137-9097813-2	1-2-109018	1-8381628-4333895	1-3-6029895	9597720-2-4	1-9229081-4	1-404082-1391695	1-1297367-4	3879476-3-4	1-404082-4	1-1297367-4333895	9668005-2-108315	1-3-2091015	1-2-8372530	4-3-4888263	5216729-2-0	850867-2-8500109	1-2-6415750	1-3-2883286	6250280-2-4	4-3-6754189	0-2-2	1-3604282-4	1-1287681-4	1-3925783-4	1-3-4	1-2457013-4	1-5182728-4	1-3-7030052	1-3390951-4	1-5194295-7593712	2881137-3-8660057	9668005-2-4597127	2881137-4023061-2	850867-2-4	1-404082-5641564	1-3-8012765	1-2-4	150551-3-4888263	1-7640458-4	7817750-2-2	39780-3-4	8232422-3-4	9668005-2-4	4393956-3-4	0-3859808-2	2424594-2-4	9668005-2-5115001	4347528-404082-4	1-404082-9676531	4-3-3	1-3-5973779	3-2-0	1475185-2-4	1-5194295-4	9668005-2-6432755	3487435-4023061-2	1-2-8639527	1-3-2658722
assemblage-730-622	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	37	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-599-945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	11	0	0	0	0	0	48	0	0	0	21	0	0	0	0	0	0	0	35	0	0	0	206	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7
assemblage-465-737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	11	0	0	0	0	0	0	80	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	5	77	0	0	0	13
assemblage-604-525	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	129	0	0	0	102	0	0	0	0	0	0	0	69	0	0	6	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	16	0	15
assemblage-604-735	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	9	0	35	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	190	0	11	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-234-166	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	26	0	0	0	0	0	0	14	0	75	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-351-499	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	7	0	0	0	0	0	0	0	0	235	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	44	0	0	0	13
assemblage-224-673	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-669-934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	32	0	0	0	11
assemblage-455-398	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	33	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-473-651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	8	0	0	0	0	0	126	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-612-775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	16	0	0	0	0	0	0	0	198	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-268-734	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	99	0	0	24	0	0	44	0	0	0	0	0	0	0	0	62	0	0	0	0	0	8
assemblage-336-700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	29	0	0	0	1
assemblage-238-351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	32	0	0	0	0	0	0	0	0	93	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-470-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	39	0	0	0	0	0	0	0	0	0	12	110	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	6	134	0	0	0	7
assemblage-331-183	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-696-280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	16	0	0	10	0	0	109	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	55	0	34	0	0	0	71	0	0	0	0	0	0	0	0	23	0	0	0	0	0	8
assemblage-757-478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	78	0	0	0	0	0	20	32	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-617-283	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	41	0	0	0	0	0	0	0	0	0	6	81	0	0	0	0	0	0	0	0	24	0	0	127	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-361-733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	14	0	0	9	0	0	97	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	53	0	32	0	0	0	94	0	0	0	0	0	0	0	0	32	0	0	0	0	0	8
