Assemblage_Name	4396436-3-3401820	7429622-2-9907803	1-4130068-2	0-7988434-0	4396436-3-3	4-0-0	4396436-9266315-3401820	4659605-3-3401820	1-3-2	3027991-2-9907803	7429622-9613117-7314947	7429622-2-4	1-4358593-9470511	4396436-3897559-3401820
assemblage-328-328	79	41	10	0	46	93	10	91	0	6	8	93	0	18
assemblage-977-352	208	119	48	0	24	39	0	0	0	0	0	36	0	7
assemblage-882-392	66	86	122	0	70	34	0	0	0	11	0	38	18	4
assemblage-900-267	92	103	92	0	97	17	0	0	0	9	0	64	0	7
assemblage-934-1004	20	59	0	0	110	93	0	0	37	0	0	0	77	12
assemblage-684-472	78	28	0	0	0	184	44	32	0	0	91	28	0	15
assemblage-471-340	78	0	0	24	85	0	0	0	217	0	0	0	0	3
assemblage-497-531	4	99	0	7	141	80	0	0	0	0	0	23	99	26
assemblage-760-869	37	0	0	98	24	63	0	0	218	0	0	16	20	6
assemblage-510-572	125	4	0	0	0	15	118	115	0	0	39	3	0	24
