Assemblage_Name	1-1-0	428518-3-4	2169391-9344973-0	2-0-4	2-1-4486420	0-3-2	0-1231449-2	428518-4967462-4
assemblage-298-562	0	254	32	0	16	7	38	5
assemblage-985-351	0	88	239	0	7	52	5	6
assemblage-614-458	26	0	0	93	31	179	0	13
assemblage-471-161	34	11	37	14	141	190	0	6
assemblage-253-215	104	0	0	0	379	0	0	6
assemblage-611-217	0	179	99	0	0	71	15	9
assemblage-894-247	0	44	68	0	119	232	0	5
assemblage-957-688	0	35	133	0	91	180	0	7
assemblage-247-871	41	0	32	18	252	142	0	15
assemblage-371-813	0	374	0	0	0	44	0	14
