Assemblage_Name	7904061-1-3	4-1-3	0-4-4	2-4-0	2-6068192-3	3-1-3	5494807-3-0	6593648-4-0	1039348-4-0
assemblage-477-336	0	0	0	0	0	274	175	0	12
assemblage-985-351	16	198	0	0	0	48	66	163	9
assemblage-597-671	0	50	0	231	44	31	62	27	14
assemblage-308-566	0	153	0	61	0	51	26	174	7
assemblage-281-541	48	74	0	50	0	141	171	0	16
assemblage-250-872	0	224	20	89	14	19	88	19	6
assemblage-868-416	13	13	6	195	7	91	99	59	2
assemblage-708-462	0	175	0	174	0	67	18	39	15
assemblage-358-786	0	151	0	161	0	0	101	11	11
assemblage-151-166	0	98	64	33	0	93	150	0	2
