Assemblage_Name	9193674-0-1	9715367-2-0	0-1-4	3-0-1	4-3-4	3-0-2911591
assemblage-498-521	0	77	151	242	10	2
assemblage-466-351	0	0	500	0	0	0
assemblage-935-1004	39	11	337	44	0	7
assemblage-414-339	27	0	173	157	113	7
assemblage-804-979	16	0	304	108	67	5
assemblage-353-252	0	38	291	78	53	1
assemblage-684-472	0	0	128	215	59	5
assemblage-333-235	0	0	277	113	89	7
assemblage-535-559	0	0	70	227	110	5
assemblage-873-390	41	0	273	83	94	2
