Assemblage_Name	1517970-7660565-4	2-2-2	6386901-5746785-3	0-2-4	2-1702440-2	2-4-4	4232838-8467996-4	7292763-8467996-4	4232838-7525908-4
assemblage-172-952	38	75	0	0	0	0	113	146	18
assemblage-868-416	0	109	0	0	62	60	188	12	20
assemblage-253-215	0	0	45	86	0	135	69	0	6
assemblage-181-190	0	175	65	37	26	47	77	0	18
assemblage-235-847	0	155	30	12	119	9	98	0	30
assemblage-667-848	23	180	0	42	0	19	186	11	12
assemblage-470-127	0	275	0	0	0	114	9	0	11
assemblage-667-407	71	71	0	0	0	0	56	190	8
assemblage-606-238	25	91	0	0	0	0	192	113	9
assemblage-713-915	0	120	0	7	0	0	282	54	22
