Assemblage_Name	1-1-0	2-3-0	2-0-804660	73806-0-2	2-0-2	8753117-2-2	1132286-3-4	4539821-6906063-2
assemblage-319-550	142	4	183	58	90	0	0	4
assemblage-623-454	77	94	0	0	29	103	0	7
assemblage-929-253	137	23	47	0	244	6	7	0
assemblage-343-236	168	24	154	140	8	0	0	1
assemblage-405-331	32	43	101	169	152	0	0	3
assemblage-164-945	0	0	0	324	169	0	0	2
assemblage-261-238	0	134	0	0	300	0	0	3
assemblage-688-487	11	51	9	161	263	0	0	5
assemblage-499-537	46	46	22	0	333	9	35	9
assemblage-294-127	19	47	64	0	181	37	80	6
