Assemblage_Name	3-1-0	2087553-4-7130941	0-489841-3	0-4-7130941	3-3-1	1-2-1	3-1-6624703	3-6573297-1	8290899-1-0	8290899-2897661-0	2-4-4	6177157-4-7130941	0-7496352-3
assemblage-681-262	14	0	0	0	0	110	7	4	0	54	0	74	13
assemblage-631-459	188	0	5	85	4	52	0	0	56	0	0	0	14
assemblage-242-242	0	0	245	55	0	135	0	0	0	0	0	0	28
assemblage-889-395	41	0	0	174	21	38	0	0	0	0	29	18	23
assemblage-713-902	3	27	0	117	0	35	29	89	51	21	27	0	19
assemblage-295-545	33	0	0	96	0	54	12	74	0	20	95	32	35
assemblage-597-662	79	0	0	26	0	75	0	0	63	0	150	0	19
assemblage-688-487	60	64	0	0	0	96	76	63	0	11	0	100	10
assemblage-235-847	38	0	11	12	10	168	0	0	0	0	49	0	13
assemblage-391-369	0	6	0	58	0	52	7	98	8	88	0	64	21
