Assemblage_Name	1-0-3	2564129-0-2	0-1-2	4006385-0-4	0-0-4	1-0-9758369	3-0-2	0-0-8509390	1-4-4	3-0-4967873	1-8253984-3
assemblage-293-129	144	0	17	7	138	0	44	0	51	93	6
assemblage-172-188	238	93	38	0	46	0	28	0	0	0	12
assemblage-204-172	0	8	177	0	0	0	26	0	249	0	6
assemblage-936-696	78	39	8	109	65	19	0	0	73	71	6
assemblage-894-247	94	65	0	47	45	54	0	0	131	55	9
assemblage-340-239	59	10	0	169	21	69	0	0	111	32	7
assemblage-497-531	188	37	15	0	84	0	7	0	106	48	10
assemblage-606-238	231	0	0	48	37	16	0	70	42	41	7
assemblage-352-801	334	0	0	0	39	0	0	5	14	74	9
assemblage-604-218	211	0	0	41	21	0	0	37	42	72	4
