Assemblage_Name	5602036-1-1	5602036-3033399-1	3-2911094-3	0-3-3	5958566-2-5393409	9430523-2-5393409	1-3-3	3472994-3385667-1	3-4-3	5958566-1202591-5393409	3-2010757-9840444	5958566-1207610-5393409
assemblage-759-877	0	0	0	84	0	79	20	0	83	0	0	13
assemblage-336-223	139	45	0	0	0	0	87	0	33	2	0	16
assemblage-298-582	102	18	0	0	0	0	0	33	218	0	13	28
assemblage-782-467	10	0	80	0	0	0	180	0	50	95	0	28
assemblage-471-161	27	0	41	0	24	29	20	0	252	21	0	18
assemblage-356-798	17	46	0	0	0	0	7	135	102	0	36	22
assemblage-708-462	37	47	0	0	0	0	16	73	91	0	46	24
assemblage-260-232	27	0	0	123	14	40	102	0	8	0	0	34
assemblage-667-848	134	0	92	0	0	0	13	0	84	48	0	36
assemblage-247-871	23	0	0	7	120	60	70	0	139	0	0	24
