Assemblage_Name	2210952-1-0	0-2612144-4	4576672-1-4	0-1-0	4-3-4	1-0-4	2-3268689-0	2-3268689-6034691	4-1681612-8561871	0-1374307-4
assemblage-477-336	0	0	0	16	0	0	117	0	0	15
assemblage-621-440	0	31	0	0	73	74	126	0	0	19
assemblage-183-592	0	29	109	0	142	0	52	68	0	18
assemblage-923-976	0	24	59	133	93	28	86	0	0	26
assemblage-900-267	37	67	69	0	71	31	71	79	49	14
assemblage-936-696	6	34	83	144	31	36	67	24	56	14
assemblage-349-339	9	47	127	0	175	0	6	0	0	24
assemblage-152-958	0	20	10	0	231	0	0	17	0	26
assemblage-267-347	150	0	10	0	135	42	18	56	13	19
assemblage-562-744	0	40	64	89	24	11	70	0	129	23
