Assemblage_Name	6314187-292286-9647820	3-1-2	3-292286-9647820	0-2-0	3-1-9647820	6314187-3685450-9647820	3-292286-7603570	0-3-1771678	3421824-2-0
assemblage-319-550	115	0	86	204	0	0	0	71	4
assemblage-663-393	10	0	101	249	0	57	0	38	8
assemblage-509-534	0	0	73	184	0	0	6	108	19
assemblage-941-247	46	0	41	177	0	0	11	160	19
assemblage-414-339	74	0	45	213	0	39	0	92	9
assemblage-543-930	0	13	163	49	47	0	22	76	16
assemblage-151-166	0	20	159	8	55	0	0	149	7
assemblage-988-353	87	0	103	233	0	47	0	14	16
assemblage-690-252	25	0	13	334	0	38	0	0	13
assemblage-894-551	0	178	0	0	137	0	0	0	5
