Assemblage_Name	1-2-8014973	3-3-0	5099164-3-3	2-2-2	2-358908-2	1-2-4	798089-6128896-9463376	4-6128896-9463376	2-9000280-2
assemblage-412-358	30	67	222	0	103	0	25	0	1
assemblage-525-934	0	13	118	65	119	46	13	41	1
assemblage-900-267	38	87	214	0	38	0	90	18	10
assemblage-198-177	0	0	0	13	0	0	0	91	11
assemblage-923-236	101	32	75	43	91	12	136	7	3
assemblage-359-271	0	81	101	72	178	52	0	5	5
assemblage-460-153	8	88	49	0	243	22	45	36	9
assemblage-675-257	0	137	349	0	4	0	0	0	10
assemblage-711-905	15	63	230	6	27	0	121	0	5
assemblage-667-407	8	20	417	0	41	0	5	0	9
