Assemblage_Name	3915846-2432330-0	5155511-5184746-3	4-5057743-2858049	0-4-1	2536795-7796984-0	4-8051631-0	8138908-1891476-0	3-1803486-767811	4-5057743-8541968	4-5057743-0	3915846-108862-0	4-2432330-0	3-7767746-110409	5155511-5918160-3	3745949-8051631-0
assemblage-623-454	0	114	7	83	0	0	0	72	0	15	0	75	9	0	17
assemblage-532-565	0	0	9	0	108	0	104	0	107	0	0	0	0	12	22
assemblage-804-979	42	0	114	0	18	0	0	0	67	0	4	6	0	61	21
assemblage-708-462	0	0	34	0	150	6	59	0	130	0	0	0	0	11	27
assemblage-460-153	41	261	20	0	0	0	0	14	0	32	28	8	34	0	24
assemblage-195-187	0	0	0	84	0	0	0	40	0	0	0	0	9	0	24
assemblage-370-312	0	0	25	0	76	0	79	0	45	0	0	14	0	82	32
assemblage-526-929	0	183	7	56	0	12	0	38	0	0	0	157	4	0	37
assemblage-988-353	17	0	26	0	27	31	63	0	144	0	0	40	0	60	12
assemblage-921-684	9	59	111	0	0	58	0	56	0	66	33	37	0	8	22
