Assemblage_Name	7981547-8956213-4	2-0-1260624	4262678-4-4	5809005-4-1	2-4309479-1260624	1-4-4	5574325-0-116304	7981547-2972621-4	7981547-4-4	2-4-4	7703504-4-4	7503348-4-4
assemblage-925-992	0	86	0	11	55	122	16	0	52	30	0	4
assemblage-742-872	0	107	0	44	13	0	0	0	46	139	0	16
assemblage-183-592	0	0	180	0	42	0	0	10	37	57	83	19
assemblage-263-346	7	0	12	0	108	0	0	26	150	77	65	8
assemblage-562-770	0	38	0	0	117	74	81	0	21	126	0	21
assemblage-414-339	0	0	117	0	115	0	0	52	5	29	99	14
assemblage-820-982	28	0	0	0	233	44	0	0	17	86	0	23
assemblage-774-471	30	21	0	0	178	11	42	0	64	79	14	7
assemblage-907-527	0	0	0	141	0	204	0	0	0	0	0	13
assemblage-689-249	0	0	37	0	68	0	0	51	0	44	44	28
