Assemblage_Name	0-5210520-0	2-1-2	3-3-4	3-3-3	3-166999-3	2-6658485-2	5512335-6252810-1	4-3-1	2-802161-2	4593194-3-3	0-6198326-5944075	1-4341217-1	7404198-166999-3	1-6252810-1	4436015-4341217-1
assemblage-793-991	121	10	28	21	0	0	67	0	0	0	0	118	70	16	6
assemblage-977-352	222	0	43	0	0	0	11	0	0	0	7	54	27	11	15
assemblage-209-176	0	0	0	201	144	0	0	0	0	76	0	0	0	0	7
assemblage-509-534	0	26	9	12	0	16	0	107	5	22	0	196	15	35	23
assemblage-356-798	124	0	66	0	0	0	0	0	0	0	120	0	0	0	16
assemblage-887-413	0	60	6	0	0	0	16	44	0	0	0	239	28	6	38
assemblage-167-585	189	0	47	0	0	0	0	0	0	0	82	0	0	58	17
assemblage-285-119	0	12	12	0	15	46	0	45	91	75	0	44	0	130	17
assemblage-760-869	21	0	66	0	26	91	0	50	36	55	0	0	0	65	13
assemblage-599-228	144	7	0	0	0	0	36	0	0	0	8	34	12	18	15
