Assemblage_Name	4-1-2	0-1-2	3-0-1	4348091-1-2	0-2-8335094	2679474-1-2
assemblage-637-842	46	341	100	7	0	6
assemblage-673-417	154	151	53	0	0	8
assemblage-359-264	127	138	104	0	93	5
assemblage-298-582	394	95	0	0	0	11
assemblage-253-215	357	0	0	0	0	5
assemblage-341-212	171	147	93	0	44	20
assemblage-887-413	94	265	20	23	44	5
assemblage-279-115	123	222	48	0	6	13
assemblage-481-156	34	244	49	20	88	5
assemblage-689-249	265	93	31	0	0	2
