Assemblage_Name	1-0-3	0-0-0	1-3-0	2-0-1	9547045-3-0	3-2-3	1-0-8073649
assemblage-629-460	93	114	47	195	0	21	7
assemblage-298-562	89	0	0	396	0	11	4
assemblage-790-480	204	17	0	107	26	145	1
assemblage-537-763	55	19	0	348	19	46	13
assemblage-894-247	117	55	9	176	0	138	0
assemblage-279-115	65	127	0	171	20	108	9
assemblage-237-258	271	0	141	0	57	0	2
assemblage-160-948	172	0	0	251	0	0	3
assemblage-991-355	82	15	0	364	0	22	8
assemblage-610-223	118	0	0	375	0	0	7
