Assemblage_Name	2-6896183-4	1-0-3	4-4-0	3-5348249-1	3-2-1	3-2-5105135
assemblage-614-458	12	170	124	0	118	14
assemblage-525-934	46	158	14	0	218	12
assemblage-585-209	0	0	0	57	205	14
assemblage-405-331	0	0	0	34	418	10
assemblage-344-220	5	0	0	0	484	3
assemblage-471-161	44	98	73	0	242	4
assemblage-518-548	0	0	0	8	165	11
assemblage-884-412	5	31	0	0	452	12
assemblage-667-848	23	13	0	2	436	13
assemblage-894-551	0	0	0	0	322	2
