Assemblage_Name	3-5899071-3	1-2932161-2724887	2-2-4	3-0-3	1-2932161-7373600	336371-0-1	1-1190894-2724887	2-2-5457791
assemblage-352-230	0	64	222	0	0	180	11	11
assemblage-206-182	0	0	0	0	0	393	85	6
assemblage-804-979	0	73	166	0	0	158	53	12
assemblage-543-930	31	0	32	44	0	109	30	9
assemblage-870-401	64	0	103	35	0	152	58	11
assemblage-349-339	0	153	127	0	109	81	17	13
assemblage-178-601	0	58	131	0	43	197	0	20
assemblage-524-544	0	31	63	0	41	121	0	10
assemblage-619-459	8	0	29	175	0	188	37	16
assemblage-619-655	79	0	144	94	0	78	29	17
