Assemblage_Name	2933364-4-1	2-2357593-1867248	9930297-2-1	431632-4-1	5236710-3-3	2-4-1	3-4420621-3	1890498-1-4
assemblage-363-786	6	0	0	0	0	361	0	12
assemblage-898-394	0	15	48	180	9	192	23	7
assemblage-985-351	0	0	46	47	0	361	36	10
assemblage-525-934	0	0	22	162	118	94	20	14
assemblage-806-986	0	28	12	163	0	207	50	4
assemblage-679-391	6	17	0	25	0	386	0	11
assemblage-246-246	0	0	10	0	244	0	64	3
assemblage-411-344	26	0	0	26	0	383	0	13
assemblage-549-750	0	21	68	43	63	142	98	16
assemblage-763-893	0	0	20	163	100	0	133	15
