Assemblage_Name	2-7942022-0	1-4057521-4	0-0-4	0-0-1311665	2605986-1-5526798	1-1-5882134	8304739-7429309-2	7086260-51001-0	2-4-1042574	1-7429309-2	2-4-7141334	2-4-0	1-7429309-1455554
assemblage-352-266	0	114	0	58	5	63	0	0	0	19	0	31	10
assemblage-923-976	0	92	69	138	22	37	0	0	0	9	0	15	15
assemblage-936-250	0	98	11	209	16	0	16	0	28	25	0	23	13
assemblage-253-215	0	0	36	0	0	116	0	0	0	58	0	0	16
assemblage-692-481	189	0	0	30	78	0	20	11	50	0	0	0	29
assemblage-411-344	16	0	0	77	49	0	46	42	139	0	22	0	24
assemblage-545-737	19	65	0	113	45	37	0	0	0	42	0	34	17
assemblage-911-277	0	56	27	22	98	0	28	0	106	48	0	0	32
assemblage-510-572	183	0	0	8	49	0	28	35	14	0	12	0	16
assemblage-713-915	81	42	0	18	138	0	46	46	35	9	31	0	26
