Assemblage_Name	0-1-4348437	0-8230468-2	0-1-2	9152710-0-3	4-0-3	4-2970034-3	0-0-1	2-6107023-4	9152710-4716236-3
assemblage-673-417	0	22	127	11	5	187	0	0	1
assemblage-621-440	4	57	156	139	90	0	0	0	8
assemblage-256-346	0	0	119	124	101	130	0	0	7
assemblage-934-1004	7	71	131	57	47	0	84	10	14
assemblage-894-247	0	99	12	98	203	54	0	12	7
assemblage-957-688	35	36	14	124	190	75	0	22	4
assemblage-575-740	34	0	96	165	72	0	123	0	10
assemblage-526-569	0	4	230	31	0	228	0	0	7
assemblage-258-243	0	0	0	41	0	0	241	0	4
assemblage-599-228	0	55	42	84	53	264	0	0	2
