Assemblage_Name	0-4-3141270	2-0-6498470	8368494-4-3141270	7530247-2-28459	4-1-8294796	3-0-2	7857259-2-28459	7530247-890701-28459	0-9548593-7869581	2455957-2-28459	0-9548593-0	8368494-4-7422627	8368494-5971914-3141270
assemblage-630-846	49	0	30	211	0	9	95	3	0	0	0	39	29
assemblage-288-575	35	0	43	220	0	0	18	18	4	47	46	56	13
assemblage-261-343	53	0	0	137	0	26	76	76	0	0	48	44	16
assemblage-359-264	27	155	17	3	39	0	0	0	0	0	175	0	3
assemblage-955-695	103	20	46	213	0	0	0	0	0	0	6	20	18
assemblage-371-808	29	0	33	278	0	0	0	0	59	15	9	0	11
assemblage-250-872	157	58	36	92	6	20	0	0	0	0	54	0	18
assemblage-539-762	70	125	17	65	7	34	0	0	0	0	33	21	1
assemblage-167-585	30	0	4	275	0	0	0	36	87	50	0	0	12
assemblage-915-529	0	0	0	0	0	27	0	0	0	0	0	0	8
