Assemblage_Name	4-2-3011213	5185256-5425758-3	0-4777253-5007881	0-4777253-2	0-1694615-2	1-9872424-5536863	4-2-2	3531545-2-2	2695382-4-2
assemblage-681-262	21	0	35	0	144	0	55	134	16
assemblage-615-216	7	0	205	0	37	0	124	46	19
assemblage-597-671	0	9	0	8	44	34	301	0	7
assemblage-336-223	65	0	41	0	58	0	223	93	9
assemblage-806-986	0	0	0	0	103	0	342	0	16
assemblage-405-331	0	0	92	0	96	0	98	135	9
assemblage-480-335	0	34	0	0	0	0	89	0	9
assemblage-279-115	0	16	0	40	91	62	188	0	19
assemblage-150-176	0	30	0	0	119	8	85	0	20
assemblage-790-466	0	0	39	70	160	0	208	0	8
