Assemblage_Name	3-3-1	1-8092132-0	0-1-1	3-1-4	4-0-495436	4-2-0	5382900-8092132-6508779	3-3-1454976
assemblage-925-992	29	91	103	44	86	135	0	7
assemblage-621-440	0	137	149	63	67	0	0	4
assemblage-950-251	99	232	75	0	49	25	0	9
assemblage-325-227	43	163	16	0	265	0	0	13
assemblage-815-972	77	188	56	0	122	0	28	5
assemblage-460-153	71	77	200	22	107	19	0	0
assemblage-358-786	0	210	0	0	147	0	102	3
assemblage-907-527	0	123	0	303	0	0	0	4
assemblage-688-487	0	165	0	0	141	0	92	2
assemblage-606-238	18	268	0	0	142	0	59	13
