Assemblage_Name	8762718-4-0	4-2348299-3	2-3-2	2-1-4676275	2-4-1	2-6940874-4676275	2-89540-1	9682190-1-3	2-6024411-2
assemblage-672-407	0	0	28	0	338	0	7	0	7
assemblage-868-416	78	38	107	0	106	0	0	141	6
assemblage-164-945	0	0	0	0	368	0	30	0	10
assemblage-181-190	44	103	59	19	35	91	0	77	19
assemblage-261-238	244	80	0	0	0	151	0	0	2
assemblage-295-545	8	0	53	13	233	0	0	30	7
assemblage-299-553	0	0	8	0	303	0	121	0	23
assemblage-481-156	82	40	46	17	146	0	0	141	7
assemblage-525-913	3	58	139	64	73	8	0	94	5
assemblage-259-333	0	0	37	3	415	0	11	0	7
