Assemblage_Name	4719486-2-4	1-0-0	4516298-6332063-0	3-4-4	8771985-0-1002990	4516298-4-0	0-1-6409054	4-2-4	1-0-1002990	3271942-0-1002990
assemblage-293-129	0	75	0	51	0	95	100	89	82	8
assemblage-891-274	19	179	0	0	25	45	33	17	169	13
assemblage-941-247	46	24	21	0	31	10	45	113	200	10
assemblage-480-335	0	252	0	0	0	0	77	0	144	3
assemblage-460-153	32	121	39	13	0	68	128	6	85	3
assemblage-520-549	0	68	0	0	79	52	69	131	65	14
assemblage-702-912	0	218	3	0	131	24	0	60	37	11
assemblage-760-869	0	79	0	122	0	83	144	38	32	2
assemblage-604-218	0	127	0	0	67	99	181	17	0	2
assemblage-406-358	0	113	0	0	54	258	40	0	8	3
